ReceiptNo,AcctNo,BillNo,PymtDate,PymtMethod,Cash
1570099,111200270,10260931,1-3-2019,0,704.85
1570192,111200980,10261012,1-3-2019,0,220
1570112,111202550,10261065,1-3-2019,0,308.3
1570118,111203660,10263084,1-3-2019,0,763.7
1570129,113205130,10262115,1-3-2019,0,1419.45
1570080,211200240,10261267,1-3-2019,0,220
1570114,211200250,10261268,1-3-2019,0,390
1570132,211201960,10261360,1-3-2019,0,664.89
1570126,211202110,10261377,1-3-2019,0,699.9
1570097,211202360,10261384,1-3-2019,0,557.75
1570074,211202640,10261403,1-3-2019,0,220
1570084,211203050,10261437,1-3-2019,0,675.4
1570184,211203140,10261431,1-3-2019,0,220
1570116,211203220,10261435,1-3-2019,0,455.4
1570166,211203340,10261441,1-3-2019,0,220
1570083,211203440,10261447,1-3-2019,0,440
1570153,211203540,10261519,1-3-2019,0,1102.8
1570149,211203700,10261474,1-3-2019,0,308.3
1570142,211203750,10261629,1-3-2019,0,220
1570150,211203840,10261479,1-3-2019,0,646
1570104,211204170,10261561,1-3-2019,0,564.75
1570094,211204380,10261547,1-3-2019,0,551.4
1570110,211204460,10261537,1-3-2019,0,1996.5
1570077,211204564,10261543,1-3-2019,0,881.4
1570196,211205310,10261687,1-3-2019,0,209
1570178,211205540,10261699,1-3-2019,0,220
1570105,211205550,10261700,1-3-2019,0,220
1570128,211205661,10261703,1-3-2019,0,500
1570190,211205730,10261708,1-3-2019,0,763.7
1570136,211205840,10261723,1-3-2019,0,440
1570195,211206340,10261750,1-3-2019,0,440
1570141,211206350,10261764,1-3-2019,0,249.45
1570107,211206550,10261782,1-3-2019,0,249.45
1570197,211207310,10261332,1-3-2019,0,551.4
1570090,211207360,10261444,1-3-2019,0,763.7
1570069,211207370,10261835,1-3-2019,0,440
1570092,211207530,10261413,1-3-2019,0,822.55
1570127,211207580,10261582,1-3-2019,0,308.3
1570154,211207630,10261730,1-3-2019,0,220
1570100,211207670,10261531,1-3-2019,0,440
1570164,211207705,10261691,1-3-2019,0,484.85
1570067,211207721,10261705,1-3-2019,0,220
1570167,211207726,10261574,1-3-2019,0,1177.05
1570186,211207766,10261821,1-3-2019,0,660
1570095,211207783,10261507,1-3-2019,0,662.75
1570078,211207795,10261798,1-3-2019,0,440
1570082,211207818,10261585,1-3-2019,0,308.3
1570185,211207900,10261464,1-3-2019,0,220
1570106,211207907,10261481,1-3-2019,0,469.45
1570193,211207923,10262137,1-3-2019,0,367.15
1570130,214202690,10261406,1-3-2019,0,396.55
1570121,311201670,10261960,1-3-2019,0,278.85
1570188,311205220,10262154,1-3-2019,0,808.5
1570085,314200110,10261867,1-3-2019,0,763.7
1570122,314203770,10262174,1-3-2019,0,748.25
1570156,314205648,10262165,1-3-2019,0,440
1570157,314205653,10262695,1-3-2019,0,220
1570171,314205682,10262212,1-3-2019,0,440
1570169,314205692,10262928,1-3-2019,0,646
1570162,314205694,10262111,1-3-2019,0,1813.15
1570179,411200332,10262958,1-3-2019,0,220
1570163,411200451,10262643,1-3-2019,0,763.7
1570151,411200840,10262310,1-3-2019,0,1214.15
1570086,411201690,10262359,1-3-2019,0,396.55
1570123,411201810,10252479,1-3-2019,0,880
1570189,411202034,10262382,1-3-2019,0,641.7
1570180,411202550,10263016,1-3-2019,0,616.6
1570182,411202741,10262433,1-3-2019,0,249.45
1570073,411202810,10262450,1-3-2019,0,220
1570072,411202920,10262437,1-3-2019,0,498.9
1570194,411203050,10262410,1-3-2019,0,220
1570111,411203310,10262599,1-3-2019,0,278.85
1570161,411203700,10262560,1-3-2019,0,220
1570183,411203964,10262597,1-3-2019,0,220
1570177,411204044,10262785,1-3-2019,0,220
1570108,411204051,10262751,1-3-2019,0,220
1570152,411204790,10262755,1-3-2019,0,308.3
1570117,411204960,10262763,1-3-2019,0,220
1570168,411205410,10262794,1-3-2019,0,367.15
1570068,411205670,10262268,1-3-2019,0,440
1570091,411205890,10262899,1-3-2019,0,220
1570081,411205970,10262524,1-3-2019,0,426
1570133,411206150,10262412,1-3-2019,0,440
1570131,411206200,10262500,1-3-2019,0,396.55
1570175,411206530,10262603,1-3-2019,0,220
1570187,411206544,10262625,1-3-2019,0,209
1570120,411206546,10263627,1-3-2019,0,881.4
1570079,411206560,10262574,1-3-2019,0,220
1570144,411206613,10263086,1-3-2019,0,220
1570113,411206657,10262634,1-3-2019,0,836.55
1570198,411206663,10262717,1-3-2019,0,440
1570140,411206697,10262505,1-3-2019,0,440
1570155,411206709,10262702,1-3-2019,0,220
1570124,511200860,10262868,1-3-2019,0,220
1570119,511200950,10262873,1-3-2019,0,1028.5
1570145,511201140,10262732,1-3-2019,0,440
1570089,511201280,10262906,1-3-2019,0,1028.5
1570093,511201393,10262929,1-3-2019,0,278.85
1570137,511201411,10262940,1-3-2019,0,278.85
1570125,511201430,10262945,1-3-2019,0,220
1570159,511202300,10263160,1-3-2019,0,1514.7
1570165,511203440,10263261,1-3-2019,0,514.25
1570181,511203840,10263301,1-3-2019,0,209
1570172,511204980,10263209,1-3-2019,0,514.25
1570103,511205300,10263328,1-3-2019,0,839.15
1570174,511205350,10262849,1-3-2019,0,1693.8
1570134,511205400,10263271,1-3-2019,0,986.45
1570158,511205662,10262924,1-3-2019,0,771.4
1570191,511205682,10263003,1-3-2019,0,249.45
1570115,511205692,10263063,1-3-2019,0,396.55
1570139,511205730,10263375,1-3-2019,0,220
1570071,511205751,10263005,1-3-2019,0,337.7
1570075,511205755,10263269,1-3-2019,0,220
1570143,511205793,10262863,1-3-2019,0,220
1570173,511205868,10263191,1-3-2019,0,249.45
1570070,611201001,10263410,1-3-2019,0,646
1570146,611201110,10263434,1-3-2019,0,426
1570102,611201380,10263562,1-3-2019,0,616.55
1570109,611201390,10263565,1-3-2019,0,249.45
1570076,611201780,10263545,1-3-2019,0,440
1570096,611202160,10263595,1-3-2019,0,320.85
1570088,611202230,10263579,1-3-2019,0,396.55
1570160,611202496,10263488,1-3-2019,0,367.15
1570138,611202498,10263477,1-3-2019,0,220
1570148,611202506,10263466,1-3-2019,0,220
1570101,611202514,10263478,1-3-2019,0,440
1570098,611202543,10263471,1-3-2019,0,209
1570087,611202550,10263464,1-3-2019,0,1399.8
1570147,611202585,10263480,1-3-2019,0,646
1570135,611202594,10263663,1-3-2019,0,220
1570176,611202606,10263661,1-3-2019,0,330
1570170,611202621,10263604,1-3-2019,0,308.3
